,scoop,
1533," I was impressed to see that Attendify has a single end-to-end universal source of truth, rather than a scattered online experience. How do you feel about the new era of virtual events? I’m interested in hearing your thoughts!",
1454," I was impressed to see that Automated solutions like MasterControl give us the ability to manage a higher volume of transactions than we could with a paper-based solution. Out of curiosity, how do you feel about the new era of virtual professionals? I’m interested in hearing your thoughts!",
1442," I was impressed to see that Automated solutions like MasterControl give us the ability to manage a higher volume of transactions than we could with a paper-based solution. Out of curiosity, how do you find the best way to provide such a wide range of services to your clients? ",
1223," I was impressed to see that AYTM is a non-partisan, non-profit organization that works to ensure all people have the power to decide if, when and under what circumstances to get pregnant and have a child. I’m curious to know, how do you feel about the new era of virtual birth control? ",
1554," I was impressed to see that AYTM is a non-partisan, non-profit organization that works to ensure all people have the power to decide if, when and under what circumstances to get pregnant and have a child. I’m curious to know, what would you have done differently if you were doing it all again now?",
1382," I was impressed to see that Berkeley Glass is committed to providing the best glass, doors, and hardware solutions in the construction industry. How do you balance the boutique-feel service level while scaling your new business efforts? I’m curious to hear your thoughts!",
1513," I was impressed to see that Berkeley Glass provides the best glass, doors, and hardware solutions in the construction industry. How do you find the best way to provide such a wide range of services to your customers? I’m curious to hear your thoughts!",
1383," I was impressed to see that Berkeley Glass provides the best glass, doors, and hardware solutions in the construction industry. Out of curiosity, how do you find the best way to provide such a wide range of services to your clients? It seems like a great way to go!",
1435," I was impressed to see that Brightcove video is the official video partner for the first-ever all-digital online event of this caliber. I’m curious to know, how do you feel about the new era of virtual events? It seems like such a great way to go!",
1407," I was impressed to see that Calix is committed to maintaining a flat organizational structure in the workplace. Out of curiosity, how do you find the best way to help your customers achieve their career goals? ",
1204, I was impressed to see that CardFlight is a leading SaaS payment technology company making payment acceptance effortless and simple by creating cutting-edge solutions designed to help small businesses grow. How do you feel about the new era of contactless payments? ,
1205," I was impressed to see that CardFlight is a leading SaaS payment technology company making payment acceptance effortless and simple, by creating cutting-edge solutions designed to help small businesses grow. I’m curious to know, what would you have done differently if you were doing it all again now?",
1348," I was impressed to see that CareConnect has ""best-of-breed"" user experience and product integration approach to Caregiver human capital management. How do you feel about the new era of remote professionals? I’m interested in hearing your thoughts!",
1349," I was impressed to see that CareConnect has provided us with new levels of efficiency, communication, and enablement for managing our Caregivers. I’m curious to know, how do you feel about the new era of virtual professionals? It seems like a great way to go!",
1511, I was impressed to see that Carnegie Learning and EMC School have been united by the shared mission to shape the future of learning. How do you feel about the current culture of education? I’m interested in hearing your thoughts!,
1326, I was impressed to see that Carnegie Learning and EMC School have been united by the shared mission to shape the future of learning. How do you feel about the new era of virtual learning? I’m interested in hearing your thoughts! It seems like a great way to go!,
1388, I was impressed to see that Carnegie Learning and EMC School have been united by the shared mission to shape the future of learning. How do you find the best way to help your students achieve their education goals? I’m interested in hearing your thoughts!,
1325," I was impressed to see that Carnegie Learning and EMC School have been united by the shared mission to shape the future of learning. Out of curiosity, how do you find the best way to provide such a wide range of tools to your clients? ",
1214, I was impressed to see that Clari has been named one of Inc.'s Best Workplaces list for a second consecutive year. How do you feel about the new era of virtual professionals? ,
1198, I was impressed to see that ClearVoice can handle everything to create content that fulfills customer’s marketing goals. How do you feel about the new era of virtual professionals? ,
1199," I was impressed to see that ClearVoice can handle everything to create content that fulfills your marketing goals, including strategic analysis, planning, ideation, brand alignment, content production, reporting and more. Out of curiosity, how do you find the best way to help your clients achieve their marketing goals?",
1526, I was impressed to see that Cloud Campaign will help you migrate existing clients over to Cloud Campaign. How do you feel about the new era of virtual professionals? I’m interested in hearing your thoughts!,
1322," I was impressed to see that Cloud Campaign will help you migrate your existing clients over to Cloud Campaign. I’m curious to know, how do you feel about the new era of virtual professionals? It seems like such a great way to help your clients differentiate yourself from the rest of the field!",
1352," I was impressed to see that Colorado Concrete Inc. focus on providing the highest customer satisfaction to our residential and commercial flat-work concrete customers. Out of curiosity, how do you find the best way to provide such a wide range of services to your clients? ",
1353," I was impressed to see that Colorado Concrete Inc. provides the highest quality concrete services for home owners, general contractors, all at a fair price and that's what you'll find when you call us for your next concrete project. Out of curiosity, how do you find the best way to provide such a wide range of services to your customers?",
1239," I was impressed to see that companies are expected to outsource more work, says NTT – a technology firm. How do you feel about the new era of remote professionals? I’m interested in hearing your thoughts!",
1441," I was impressed to see that Confirmit and FocusVision have a complete survey software, online focus groups, live video, and online community monitoring. How do you feel about the new era of virtual professionals? I’m interested in hearing your thoughts!",
1292, I was impressed to see that Consensus has been transformational for our Sales division. How do you feel about the new era of virtual professionals? I’m curious to hear your thoughts!,
1216," I was impressed to see that CreatorUp has spent years developing our global network of expert video creators, and certifying them for best practices. How do you feel about the new era of virtual professionals? I’m interested in hearing your thoughts!",
1471," I was impressed to see that Crew has added dozens of new integration partners to its app, including DocuSign, HelloSign, AdobeSign and more. I’m curious to know, how do you find the best way to provide such a wide range of services to your customers?",
1227, I was impressed to see that Darryl Praill is the new man in charge of growing sales at a company that exists to do exactly that for its customers. How do you feel about the new era of virtual professionals? I’m interested in hearing your thoughts!,
1331," I was impressed to see that Dav Pilkey plans to donate his advance and all royalties from ""The Adventures of Ook and Gluk"" sales to groups dedicated to stopping violence against Asians and to promoting diversity in children’s books and publishing. Out of curiosity, how do you feel about the new era of virtual learning?",
1509," I was impressed to see that Demandforce can automate front office tasks, streamline customer communications and boost your online reputation. How do you feel about the new era of virtual professionals? I’m interested in hearing your thoughts!",
1402," I was impressed to see that Demandforce is offering a new service to its clients to maintain social distancing protocols with a Mobile Check-In appointment process. With this feature, patients can check in for appointments and fill out digital intake forms from the safety of their vehicles. Out of curiosity, how do you feel about the new era of virtual professionals? ",
1253," I was impressed to see that Dr. Kortenkamp is a recognized international expert in intelligent robotics and automation. Out of curiosity, how do you feel about the new era of autonomous robots? ",
1354," I was impressed to see that E·D-S Air Conditioning & Plumbing is a full service contractor for all your indoor comfort needs. Out of curiosity, how do you feel about the new era of virtual professionals? ",
1457," I was impressed to see that E·D·S Air Conditioning & Plumbing can help you with all of your plumbing and AC repair, installation, and maintenance needs throughout Boynton Beach, Lake Worth Beach, West Palm Beach, Palm Beach Gardens, Jupiter, and the surrounding areas. How do you feel about the new era of virtual professionals? I’m interested in hearing your thoughts!",
1355," I was impressed to see that E·D·S Air Conditioning & Plumbing can help you with all of your plumbing and AC repair, installation, and maintenance needs throughout Boynton Beach, Lake Worth Beach, West Palm Beach, Palm Beach Gardens, Jupiter, and the surrounding areas. How do you find the best way to maintain a very flat organizational structure in the workplace? ",
1376," I was impressed to see that Ecrion Software helps companies establish genuine, one-on-one connections with customers. How do you feel about the new era of virtual professionals? I’m interested in hearing your thoughts!",
1377," I was impressed to see that Ecrion Software helps companies establish genuine, one-on-one connections with customers. I’m curious to know, how do you find the best way to help companies differentiate from the rest of the field? It seems like a great product to have!",
1406, I was impressed to see that Edifecs has partnered with Ryka shoes to elevate the visibility of today’s female healthcare leaders to inspire young women and girls in STEM. How do you feel about the new era of virtual professionals? I’m curious to hear your thoughts!,
1269," I was impressed to see that EECAD Technical Consultant Kristen Trick shows a common workflow within the AEC industry where we start with a multi-page PDF, and end with a fully functioning revisioned PDF set. How do you feel about the new Vault Duplicate Search feature? I’m curious to hear your thoughts!",
1578, I was impressed to see that Elite Turf has partnered with world-renowned artificial grass company Act Global to bring its all-in-one innovative POWER System™ to the US. How do you find the best way to provide such a wide range of services to your clients? ,
1466," I was impressed to see that ETC Labs is on a mission to make Ethereum Classic and other chains work to benefit people's lives and work to deliver social and economic value. I’m curious to know, how do you feel about the new era of virtual professionals? ",
1488," I was impressed to see that EverCommerce completed the acquisition of Updox, a complete healthcare communication platform for in-person and virtual care. How do you find the best way to help your customers achieve their career goals? ",
1280," I was impressed to see that EverCommerce has completed the acquisition of Updox, a complete healthcare communication platform for in-person and virtual care. How do you find the best way to provide such a wide range of services to your customers? ",
1468," I was impressed to see that ExtenData is an acknowledged industry-leading provider of enterprise mobility solutions, tracking things for people who care by extending operational efficiency. How do you feel about the new era of remote professionals? I’m interested in hearing your thoughts!",
1467," I was impressed to see that ExtenData is an acknowledged industry-leading provider of enterprise mobility solutions, tracking things for people who care by extending operational efficiency. How do you find the best way to provide such a wide range of services to your clients? ",
1446, I was impressed to see that Fleet Mobile keeps fleets rolling safely mile after mile. How do you feel about the new era of virtual professionals? I’m interested in hearing your thoughts!,
1520," I was impressed to see that Frontier Metals is a privately held non-ferrous metal processor located in Middlesex, New Jersey. How do you feel about the new era of virtual scrap sales? I’m curious to hear your thoughts!",
1356," I was impressed to see that Frontier Metals is a privately held non-ferrous metal processor located in Middlesex, New Jersey. How do you find the best way to provide such a wide range of products to your clients? ",
1524, I was impressed to see that Gardner Business Media is Gardner Web Central. How do you feel about the new era of virtual professionals? I’m interested in hearing your thoughts!,
1327," I was impressed to see that Gardner Business Media is Gardner Web Central. Out of curiosity, how do you find the best way to help your clients achieve their career goals? ",
1440, I was impressed to see that Good & Upworthy is a social impact company with a mass audience. How do you feel about the new era of virtual professionals? I’m interested in hearing your thoughts!,
1308, I was impressed to see that Greenhouse Software recently secured a major investment from TPG Growth and The Rise Fund. How do you feel about the new era of remote professionals? I’m interested in hearing your thoughts!,
1309," I was impressed to see that Greenhouse Software recently secured a major investment from TPG Growth and The Rise Fund. I’m curious to know, how do you feel about the new era of virtual hiring? It seems like a great way to go!",
1284," I was impressed to see that Haoyi is a software engineer, and the author of many open-source Scala tools such as the Ammonite REPL and the Mill Build Tool. How do you find the best way to help your clients achieve their career goals? ",
1285," I was impressed to see that Haoyi is a software engineer, and the author of many open-source Scala tools such as the Ammonite REPL and the Mill Build Tool. I’m curious to know, how do you feel about the new era of virtual programming? ",
1370," I was impressed to see that Harri has partnered with a universe of best-in-class solutions that serve the hospitality space. Out of curiosity, how do you feel about the new era of remote professionals? ",
1371," I was impressed to see that Harri has partnered with a universe of best-in-class solutions that serve the hospitality space. Out of curiosity, how do you find the best way to help your customers achieve their career goals? It seems like a great way to go!",
1540, I was impressed to see that Hashed Health CEO John Bass is featured on Blueprint’s CEO Podcast. How do you feel about the current culture of healthcare? I’m interested in hearing your thoughts!,
1449," I was impressed to see that HashiCorp has a control plane for each layer of the cloud, enabling enterprises to make the shift to a cloud operating model. How do you find the best way to provide such a wide range of services to your clients? ",
1390," I was impressed to see that HashiCorp Vault is a fully managed cloud offering for enterprises to make the shift to a cloud operating model. Out of curiosity, how do you feel about the new era of cloud infrastructure automation? I’m interested in hearing your thoughts!",
1241," I was impressed to see that Hivelocity is a provider of global IaaS and Edge Compute services. Out of curiosity, how do you feel about the new era of edge computing? ",
1546," I was impressed to see that Hivelocity is a provider of global IaaS and Edge Compute services. Out of curiosity, how do you find the best way to help your customers achieve their career goals? ",
1560," I was impressed to see that Hogeye, Inc. takes pride in making sure each customer speaks to a person, not an automated system. How do you feel about the new MADE in America product line? I’m interested to hear your thoughts!",
1207," I was impressed to see that Hogeye, Inc. takes pride in making sure each customer speaks to a person, not an automated system. How do you find the best way to provide such a wide range of services to your clients? It seems like a great way to go!",
1378, I was impressed to see that Imagine It Studios is a full service digital marketing agency that has what it takes to build your brand online and help businesses grow. How do you feel about the new era of social media management? I’m interested in hearing your thoughts!,
1379," I was impressed to see that Imagine It Studios is a full service digital marketing agency that has what it takes to build your brand online and help your business grow. Out of curiosity, how do you feel about the new era of digital marketing in McAllen? ",
1397, I was impressed to see that Innovecs is one of the fastest-growing outsourcing companies in the USA. How do you find the best way to provide such a wide range of services to your clients? I’m curious to hear your thoughts!,
1398," I was impressed to see that Innovecs is one of the fastest-growing outsourcing companies in the USA. I’m curious to know, how do you find the best way to help your clients achieve their business goals? It seems like such a great way to go!",
1458, I was impressed to see that InspiriTec provides award-winning Contact Center Services See how we can help your business provide top-of-the-line customer service. How do you feel about the new era of virtual professionals? ,
1459," I was impressed to see that InspiriTec provides award-winning Contact Center Services See how we can help your business provide top-of-the-line customer service. Out of curiosity, how do you find the best way to help your customers achieve their career goals?",
1261, I was impressed to see that Intact Platform can help you conquer all the challenges posed by GLOBALG.A.P’s new Audit Online system. How do you feel about the new system? I’m interested in hearing your thoughts!,
1541, I was impressed to see that Intact Platform can help you conquer all the challenges posed by GLOBALG.A.P’s new Audit Online system. How do you find the best way to maintain a very flat organizational structure in the workplace? ,
1260, I was impressed to see that Intact Platform can help you conquer all the challenges posed by GLOBALG.A.P’s new Audit Online system. How do you find the best way to provide such a wide range of services to your clients? ,
1451," I was impressed to see that Intapp is a cloud-based, AI-infused connected firm management software that unlocks your collective knowledge from first touch to final outcome. How do you feel about the new era of virtual professionals? I’m interested in hearing your thoughts!",
1501," I was impressed to see that Intapp is a fast-paced, innovative software company enabling professional services firms to shift to a client-centric technology strategy. How do you feel about the new era of virtual professionals? I’m interested in hearing your thoughts!",
1450, I was impressed to see that Intapp is the only connected firm management solution designed for the unique challenges of partner-led professional services firms. How do you feel about the new era of virtual professionals? I’m interested in hearing your thoughts!,
1224," I was impressed to see that IT Curves develops state of the art management software for the regulated ground transport industry, empowering taxi, limousine, and paratransit companies to compete effectively in a challenging marketplace against unregulated newcomers. How do you find the best way to provide such a wide range of services to your clients? ",
1339," I was impressed to see that Keystone Design works diligently with clients through the proposal quote stage. Out of curiosity, how do you find the best way to help companies achieve their career goals? ",
1479," I was impressed to see that Konnect Agency is a mid-size, full-service integrated marketing and public relations agency with headquarters in Los Angeles and offices across the U.S. I’m curious to know, how do you feel about the new era of digital marketing and PR agency services? ",
1556, I was impressed to see that Koombea has a mobile app and web development partner that provides businesses worldwide with custom technology solutions. How do you feel about the new era of virtual professionals? I’m interested in hearing your thoughts!,
1557," I was impressed to see that Koombea has been named in several categories for projects developed for three customers: NAB, Luna, and LincSPRING. How do you feel about the new era of virtual professionals? I’m interested in hearing your thoughts!",
1211," I was impressed to see that Koombea has been named in several categories for projects developed for three customers: NAB, Luna, and LincSPRING. I’m curious to know, what would you have done differently if you were doing it all again now?",
1305, I was impressed to see that Landing AI empowers customers to harness the business value of AI by providing enablement tools and transformation programs. How do you feel about the new era of AI-powered visual inspection solutions? I’m interested in hearing your thoughts!,
1304," I was impressed to see that Landing AI empowers customers to harness the business value of AI by providing enablement tools and transformation programs. I’m curious, how do you find the best way to help companies achieve their career goals? ",
1531," I was impressed to see that Landing AI empowers customers to harness the business value of AI by providing enablement tools and transformation programs. Out of curiosity, how do you find the best way to provide such a wide range of services to your clients? ",
1302," I was impressed to see that lead routing is the process of automatically assigning leads across a sales team, or through the proper sales model if your company has more than one sales approach, like self-serve, transactional, and enterprise. How do you find the best way to provide such a wide range of services to your clients?",
1301," I was impressed to see that Lead Routing is the process of automatically assigning leads across a sales team, or through the proper sales model if your company has more than one sales approach. How do you find the best way to help companies achieve their career goals? ",
1291," I was impressed to see that LeanData connects easily to GTM strategies using data-driven insights into your business about what sales and marketing tactics are or aren't working. Out of curiosity, how do you feel about the new era of virtual professionals? ",
1273," I was impressed to see that LEX has not only caught up with Classic but has far surpassed it in terms of available functionality and new release updates. I’m curious to know, what would you have done differently if you were doing it all again now?",
1272," I was impressed to see that LEX has not only caught up with Classic but has far surpassed it in terms of available functionality and new release updates. Out of curiosity, how do you find the best way to help end users achieve their career goals? ",
1375," I was impressed to see that LogicMonitor is the only fully automated, cloud-based infrastructure monitoring platform for enterprise IT and managed service providers. How do you feel about the new era of automation in the IT space? I’m interested to hear your thoughts!",
1573," I was impressed to see that LogicMonitor is the only fully automated, cloud-based infrastructure monitoring platform for enterprise IT and managed service providers. How do you find the best way to maintain a very flat organizational structure in the workplace? I’m curious to hear your thoughts!",
1374," I was impressed to see that LogicMonitor is the only fully automated, cloud-based infrastructure monitoring platform for enterprise IT and managed service providers. How do you find the best way to provide such a wide range of tools to your clients? I’m interested in hearing your thoughts!",
1366, I was impressed to see that Lucidworks is named a Visionary in Gartner’s annual rankings of insight engine vendors. How do you feel about the new era of virtual professionals? I’m curious to hear your thoughts!,
1455," I was impressed to see that MasterControl is the most complete, connected and intelligent QMS available today. Out of curiosity, how do you find the best way to meet the need for modern solutions like MasterControl? It seems like such a great way to go!",
1460," I was impressed to see that Mented Cosmetics is a growing, Black-owned brand with a dedicated following for its highly-pigmented color cosmetics. How do you feel about the new era of virtual beauty sales? I’m interested in hearing your thoughts!",
1430," I was impressed to see that MeQuilibrium helps individuals rise above everything that the world throws at them. I’m curious to know, how do you feel about the new era of virtual professionals?  It seems like such a great way to go!",
1429," I was impressed to see that MeQuilibrium helps individuals rise above everything that the world throws at them. Out of curiosity, how do you feel about the new era of virtual professionals? I’m interested in hearing your thoughts!",
1228, I was impressed to see that Microsoft has again purchased rights to Elevate HR software. How do you feel about the new era of virtual professionals? I’m interested in hearing your thoughts!,
1257," I was impressed to see that MMG is one of the best kept secrets in our large-scale SEO arsenal. Out of curiosity, how do you find the best way to help your clients achieve their career goals? ",
1577, I was impressed to see that Mobile Solutions’ Android as a Mobile Hotspot provides you with greater control of your mobile endpoints. How do you feel about the new era of remote professionals? I’m interested in hearing your thoughts!,
1201, I was impressed to see that Mobile Solutions’ Android as a Mobile Hotspot provides you with greater control of your mobile endpoints. How do you find the best way to provide such a wide range of services to your clients? It seems like a great product to have!,
1542," I was impressed to see that Myers Media Group is one best agencies I've worked with in my SEO career. Out of curiosity, how do you feel about the new era of virtual professionals? ",
1243," I was impressed to see that Mytonomy has helped us quickly create and deliver high-quality medical education videos to patients on any screen faster and less expensively than we could on our own. Out of curiosity, how do you feel about the new era of virtual care? ",
1244, I was impressed to see that Mytonomy is a virtual care company that empowers patients to actively care for themselves and helps enable a digital front door to healthcare. How do you feel about the new era of virtual care? I’m interested in hearing your thoughts!,
1545, I was impressed to see that Mytonomy was named one of the nation’s fastest-growing private companies. How do you feel about the new era of virtual care? I’m interested in hearing your thoughts!,
1412," I was impressed to see that NetDocuments is where industry-leading security and compliance meets delightful user experiences. Out of curiosity, how do you feel about the new era of virtual professionals? I’m interested in hearing your thoughts!",
1413," I was impressed to see that NetDocuments is where industry-leading security and compliance meets delightful user experiences. Out of curiosity, how do you find the best way to provide such a wide range of tools to your clients? It seems like a great way to go!",
1562, I was impressed to see that NextGate is a globally recognized leader in healthcare enterprise identification. How do you feel about the new era of cloud-based Enterprise Master Patient Index (EMPI)? I’m curious to hear your thoughts!,
1508," I was impressed to see that Nuvolo has helped organizations from all industries benefit from the Connected Workplace. Out of curiosity, how do you feel about the new era of CMMS technology in the workplace? I’m interested in hearing your thoughts!",
1417," I was impressed to see that Nuvolo has helped organizations from all industries benefit from the Connected Workplace. Out of curiosity, how do you find the best way to meet the need for modern-day CMMS technology? It seems like a great way to go!",
